County Name,State,Metropolitan Designation,Original Property Value,Original Loan Amount,Original LTV,Current Property Value,Current Loan Amount,Current LTV,Future Property Value,Future Loan Amount,Future LTV
MOHAVE,ARIZONA,"LAKE HAVASU CITY-KINGMAN, AZ",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NAVAJO,ARIZONA,"SHOW LOW, AZ",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PIMA,ARIZONA,"TUCSON, AZ",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PINAL,ARIZONA,"PHOENIX-MESA-SCOTTSDALE, AZ",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SANTA CRUZ,ARIZONA,"NOGALES, AZ",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
YAVAPAI,ARIZONA,"PRESCOTT, AZ",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
YUMA,ARIZONA,"YUMA, AZ",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ARKANSAS,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ASHLEY,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BAXTER,ARKANSAS,"MOUNTAIN HOME, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BENTON,ARKANSAS,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR-MO",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BOONE,ARKANSAS,"HARRISON, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BRADLEY,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CALHOUN,ARKANSAS,"CAMDEN, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CARROLL,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CHICOT,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLARK,ARKANSAS,"ARKADELPHIA, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLAY,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLEBURNE,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLEVELAND,ARKANSAS,"PINE BLUFF, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
COLUMBIA,ARKANSAS,"MAGNOLIA, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CONWAY,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CRAIGHEAD,ARKANSAS,"JONESBORO, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CRAWFORD,ARKANSAS,"FORT SMITH, AR-OK",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CRITTENDEN,ARKANSAS,"MEMPHIS, TN-MS-AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CROSS,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DALLAS,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DESHA,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DREW,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FAULKNER,ARKANSAS,"LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, A",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FRANKLIN,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FULTON,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GARLAND,ARKANSAS,"HOT SPRINGS, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GRANT,ARKANSAS,"LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, A",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GREENE,ARKANSAS,"PARAGOULD, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HEMPSTEAD,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HOT SPRING,ARKANSAS,"MALVERN, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HOWARD,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
INDEPENDENCE,ARKANSAS,"BATESVILLE, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
IZARD,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JACKSON,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JEFFERSON,ARKANSAS,"PINE BLUFF, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JOHNSON,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LAFAYETTE,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LAWRENCE,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LEE,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LINCOLN,ARKANSAS,"PINE BLUFF, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LITTLE RIVER,ARKANSAS,"TEXARKANA, TX-AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LOGAN,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LONOKE,ARKANSAS,"LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, A",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MADISON,ARKANSAS,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR-MO",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARION,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MILLER,ARKANSAS,"TEXARKANA, TX-AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MISSISSIPPI,ARKANSAS,"BLYTHEVILLE, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MONROE,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MONTGOMERY,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NEVADA,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NEWTON,ARKANSAS,"HARRISON, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
OUACHITA,ARKANSAS,"CAMDEN, AR",50.23,40,79.63 ,60.23,40,66.41 ,55.23,40,72.42 
PERRY,ARKANSAS,"LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, A",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PHILLIPS,ARKANSAS,"HELENA-WEST HELENA, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PIKE,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
POINSETT,ARKANSAS,"JONESBORO, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
POLK,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
POPE,ARKANSAS,"RUSSELLVILLE, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PRAIRIE,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PULASKI,ARKANSAS,"LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, A",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
RANDOLPH,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ST. FRANCIS,ARKANSAS,"FORREST CITY, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SALINE,ARKANSAS,"LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, A",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SCOTT,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SEARCY,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SEBASTIAN,ARKANSAS,"FORT SMITH, AR-OK",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SEVIER,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SHARP,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
STONE,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
UNION,ARKANSAS,"EL DORADO, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
VAN BUREN,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WASHINGTON,ARKANSAS,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR-MO",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WHITE,ARKANSAS,"SEARCY, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WOODRUFF,ARKANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
YELL,ARKANSAS,"RUSSELLVILLE, AR",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ALAMEDA,CALIFORNIA,"SAN FRANCISCO-OAKLAND-HAYWARD, CA",20.3,15,73.89 ,20.3,15,73.89 ,20.3,15,73.89 
ALPINE,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
AMADOR,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BUTTE,CALIFORNIA,"CHICO, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CALAVERAS,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
COLUSA,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CONTRA COSTA,CALIFORNIA,"SAN FRANCISCO-OAKLAND-HAYWARD, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DEL NORTE,CALIFORNIA,"CRESCENT CITY, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
EL DORADO,CALIFORNIA,"SACRAMENTO--ROSEVILLE--ARDEN-ARCADE, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FRESNO,CALIFORNIA,"FRESNO, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GLENN,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HUMBOLDT,CALIFORNIA,"EUREKA-ARCATA-FORTUNA, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
IMPERIAL,CALIFORNIA,"EL CENTRO, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
INYO,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KERN,CALIFORNIA,"BAKERSFIELD, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KINGS,CALIFORNIA,"HANFORD-CORCORAN, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LAKE,CALIFORNIA,"CLEARLAKE, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LASSEN,CALIFORNIA,"SUSANVILLE, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LOS ANGELES,CALIFORNIA,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MADERA,CALIFORNIA,"MADERA, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARIN,CALIFORNIA,"SAN FRANCISCO-OAKLAND-HAYWARD, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARIPOSA,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MENDOCINO,CALIFORNIA,"UKIAH, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MERCED,CALIFORNIA,"MERCED, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MODOC,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MONO,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MONTEREY,CALIFORNIA,"SALINAS, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NAPA,CALIFORNIA,"NAPA, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NEVADA,CALIFORNIA,"TRUCKEE-GRASS VALLEY, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ORANGE,CALIFORNIA,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PLACER,CALIFORNIA,"SACRAMENTO--ROSEVILLE--ARDEN-ARCADE, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PLUMAS,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
RIVERSIDE,CALIFORNIA,"RIVERSIDE-SAN BERNARDINO-ONTARIO, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SACRAMENTO,CALIFORNIA,"SACRAMENTO--ROSEVILLE--ARDEN-ARCADE, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SAN BENITO,CALIFORNIA,"SAN JOSE-SUNNYVALE-SANTA CLARA, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SAN BERNARDINO,CALIFORNIA,"RIVERSIDE-SAN BERNARDINO-ONTARIO, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SAN DIEGO,CALIFORNIA,"SAN DIEGO-CARLSBAD, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SAN FRANCISCO,CALIFORNIA,"SAN FRANCISCO-OAKLAND-HAYWARD, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SAN JOAQUIN,CALIFORNIA,"STOCKTON-LODI, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SAN LUIS OBISPO,CALIFORNIA,SAN LUIS OBISPO-PASO ROBLES-ARROYO GRAN,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SAN MATEO,CALIFORNIA,"SAN FRANCISCO-OAKLAND-HAYWARD, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SANTA BARBARA,CALIFORNIA,"SANTA MARIA-SANTA BARBARA, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SANTA CLARA,CALIFORNIA,"SAN JOSE-SUNNYVALE-SANTA CLARA, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SANTA CRUZ,CALIFORNIA,"SANTA CRUZ-WATSONVILLE, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SHASTA,CALIFORNIA,"REDDING, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SIERRA,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SISKIYOU,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SOLANO,CALIFORNIA,"VALLEJO-FAIRFIELD, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SONOMA,CALIFORNIA,"SANTA ROSA, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
STANISLAUS,CALIFORNIA,"MODESTO, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SUTTER,CALIFORNIA,"YUBA CITY, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
TEHAMA,CALIFORNIA,"RED BLUFF, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
TRINITY,CALIFORNIA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
TULARE,CALIFORNIA,"VISALIA-PORTERVILLE, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
TUOLUMNE,CALIFORNIA,"SONORA, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
VENTURA,CALIFORNIA,"OXNARD-THOUSAND OAKS-VENTURA, CA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
